Word, Democrat, Republican
the,0,2627,1.2291852002338144
to,0,1203,1.216411131685788
of,0,1184,1.216137821419464
and,0,1094,1.2147723171095068
in,0,850,1.2103186269164463
a,0,816,1.2095841427273306
that,0,659,1.205672377440753
s,0,576,1.203148196717416
for,0,399,1.1960109381455042
on,0,385,1.195295717274921
is,0,377,1.1948734445628164
as,0,307,1.1906704178174643
trump,0,306,1.190602566669666
was,0,287,1.1892623496420514
he,0,286,1.189188983219024
it,0,277,1.188514997667601
with,0,240,1.1854496672021224
have,0,240,1.1854496672021224
be,0,225,1.184046260836675
by,0,222,1.1837524843354956
not,0,221,1.1836535283103142
said,0,220,1.1835540484830704
has,0,214,1.1829458709706242
are,0,189,1.1801782474832883
we,0,183,1.179449875281726
from,0,183,1.179449875281726
i,0,169,1.1776354728354017
they,0,165,1.1770844359653103
at,0,164,1.1769442192880515
their,0,163,1.1768029931214465
will,0,163,1.1768029931214465
his,0,160,1.1763731191755527
who,0,153,1.1753320509458551
this,0,151,1.1750242576206267
an,0,144,1.173907851644889
been,0,125,1.170521912492642
people,0,124,1.1703270436600006
but,0,124,1.1703270436600006
would,0,121,1.1697310567354764
election,0,111,1.1676098730491107
also,0,104,1.1659847667703138
were,0,104,1.1659847667703138
you,0,103,1.1657419749497202
one,0,100,1.1649963600367286
president,0,96,1.1639595199096575
she,0,95,1.1636922140504755
after,0,94,1.1634215169172946
had,0,93,1.1631473473721046
or,0,93,1.1631473473721046
out,0,90,1.1623031491078506
u,0,87,1.1614244872305006
clinton,0,87,1.1614244872305006
if,0,86,1.1611234803847807
all,0,85,1.1608182365660225
can,0,85,1.1608182365660225
more,0,84,1.160508643286388
t,0,84,1.160508643286388
her,0,84,1.160508643286388
our,0,84,1.160508643286388
no,0,81,1.1595525742671433
percent,0,81,1.1595525742671433
what,0,78,1.158552859754845
about,0,77,1.1582092692439514
which,0,75,1.1575056379835909
up,0,73,1.1567789578629621
campaign,0,72,1.156406527931511
states,0,72,1.156406527931511
so,0,72,1.156406527931511
ryan,0,71,1.1560277835349626
donald,0,71,1.1560277835349626
there,0,71,1.1560277835349626
party,0,70,1.1556425226384242
its,0,68,1.1548515948029168
because,0,67,1.154445473535963
vote,0,66,1.1540319257603102
over,0,66,1.1540319257603102
them,0,65,1.1536106951149934
some,0,65,1.1536106951149934
other,0,65,1.1536106951149934
state,0,65,1.1536106951149934
new,0,64,1.1531815121409708
do,0,63,1.1527440933889033
now,0,61,1.1518433389056049
than,0,60,1.1513793571758073
into,0,60,1.1513793571758073
against,0,59,1.1509058452751086
told,0,57,1.149928730667355
two,0,55,1.1489087719102142
government,0,54,1.1483816120709625
republican,0,54,1.1483816120709625
when,0,54,1.1483816120709625
could,0,53,1.147842349428876
obama,0,53,1.147842349428876
him,0,52,1.1472904587013415
country,0,52,1.1472904587013415
many,0,51,1.1467253807635722
while,0,51,1.1467253807635722
group,0,51,1.1467253807635722
police,0,51,1.1467253807635722
america,0,51,1.1467253807635722
electoral,0,51,1.1467253807635722
just,0,50,1.1461465197314638
time,0,50,1.1461465197314638
those,0,48,1.1449448612844908
think,0,48,1.1449448612844908
these,0,47,1.1443206573482085
most,0,47,1.1443206573482085
political,0,47,1.1443206573482085
votes,0,46,1.1436798488064484
last,0,46,1.1436798488064484
only,0,46,1.1436798488064484
like,0,44,1.1423450105941875
hillary,0,44,1.1423450105941875
years,0,43,1.1416491143295995
us,0,43,1.1416491143295995
even,0,43,1.1416491143295995
president-elect,0,43,1.1416491143295995
get,0,42,1.1409328668706848
day,0,41,1.140195140302931
american,0,41,1.140195140302931
since,0,41,1.140195140302931
house,0,40,1.1394347135258385
should,0,40,1.1394347135258385
news,0,40,1.1394347135258385
very,0,40,1.1394347135258385
voters,0,40,1.1394347135258385
mosul,0,39,1.138650261901159
during,0,39,1.138650261901159
going,0,39,1.138650261901159
united,0,38,1.1378403454416146
isis,0,38,1.1378403454416146
how,0,38,1.1378403454416146
syria,0,38,1.1378403454416146
before,0,38,1.1378403454416146
trade,0,37,1.1370033952883571
democrats,0,37,1.1370033952883571
college,0,36,1.1361376981736442
democratic,0,36,1.1361376981736442
back,0,36,1.1361376981736442
military,0,36,1.1361376981736442
media,0,35,1.1352413785009556
my,0,35,1.1352413785009556
take,0,35,1.1352413785009556
between,0,35,1.1352413785009556
support,0,34,1.134312377594577
americans,0,34,1.134312377594577
left,0,34,1.134312377594577
national,0,34,1.134312377594577
where,0,33,1.133348429569984
forces,0,33,1.133348429569984
won,0,33,1.133348429569984
according,0,33,1.133348429569984
immigration,0,32,1.1323470331490937
victory,0,32,1.1323470331490937
city,0,32,1.1323470331490937
m,0,32,1.1323470331490937
schlafly,0,32,1.1323470331490937
friday,0,32,1.1323470331490937
did,0,32,1.1323470331490937
say,0,32,1.1323470331490937
re,0,31,1.1313054185824898
first,0,31,1.1313054185824898
know,0,31,1.1313054185824898
down,0,31,1.1313054185824898
much,0,31,1.1313054185824898
breitbart,0,30,1.1302205086331436
women,0,30,1.1302205086331436
need,0,30,1.1302205086331436
yet,0,30,1.1302205086331436
year,0,30,1.1302205086331436
including,0,30,1.1302205086331436
conservative,0,30,1.1302205086331436
made,0,30,1.1302205086331436
both,0,29,1.1290888723079915
former,0,29,1.1290888723079915
